Modelo,SMOTE,Accuracy,Precision_stroke,Recall_stroke,F1_stroke,AUC_ROC
Logistic Regression,No,0.7377690802348337,0.1342281879194631,0.8,0.22988505747126436,0.8393827160493826
Random Forest,Sí,0.8884540117416829,0.12790697674418605,0.22,0.16176470588235295,0.7607818930041153
XGBoost,Sí,0.898238747553816,0.125,0.18,0.14754098360655737,0.7447736625514404
XGBoost,No,0.9217221135029354,0.125,0.1,0.1111111111111111,0.7501234567901234
Dummy,No,0.9510763209393346,0.0,0.0,0.0,0.5
Random Forest,No,0.9510763209393346,0.0,0.0,0.0,0.7768209876543211
